carat,cut,color,clarity,depth,table,price,x,y,z
0.46,Premium,E,SI1,61.7,60.0,1075,1.95,1.96,1.21
0.74,Fair,I,VS2,61.5,59.0,1548,3.11,3.16,1.93
0.51,Ideal,J,VVS2,61.3,58.0,920,2.15,2.15,1.32
0.45,Very Good,G,SI1,62.4,58.0,830,2.17,2.16,1.35
0.21,Ideal,J,VVS2,62.4,58.0,326,1.04,1.07,0.66
0.43,Very Good,E,VS1,60.3,57.0,938,1.98,1.94,1.18
0.31,Premium,J,SI1,60.6,58.0,412,1.33,1.35,0.81
1.54,Premium,J,SI1,63.5,61.0,6259,7.21,7.15,4.56
0.35,Very Good,D,VS1,59.3,55.0,588,1.5,1.53,0.9
0.23,Ideal,G,VS1,61.1,60.0,326,1.06,1.06,0.65
0.29,Ideal,G,VS1,60.1,59.0,525,1.37,1.38,0.83
0.27,Ideal,D,VS2,61.5,58.0,417,1.2,1.19,0.73
0.3,Ideal,D,SI2,61.2,59.0,503,1.45,1.46,0.89
0.34,Premium,D,VS2,60.7,57.0,639,1.48,1.5,0.91
1.73,Ideal,G,VS2,62.6,55.0,7784,8.18,8.13,5.11
0.93,Good,G,SI1,62.7,58.0,2452,3.89,3.85,2.42
0.33,Very Good,J,SI1,59.7,55.0,417,1.35,1.36,0.81
0.77,Fair,F,VVS2,60.6,56.0,1934,3.35,3.32,2.02
0.72,Very Good,H,SI2,62.4,57.0,1820,3.2,3.19,2.0
0.4,Premium,D,SI1,62.1,62.0,741,1.73,1.73,1.08
0.43,Very Good,H,VS1,62.4,57.0,832,1.77,1.76,1.1
1.36,Ideal,J,SI1,62.7,52.0,5199,5.33,5.37,3.36
0.53,Very Good,F,VS2,61.9,57.0,1160,2.27,2.27,1.41
1.63,Very Good,F,VS2,60.2,61.0,7937,6.9,6.89,4.15
0.3,Premium,H,VVS1,62.0,56.0,514,1.35,1.34,0.83
0.22,Very Good,F,SI1,61.4,56.0,326,0.87,0.9,0.54
0.54,Ideal,F,SI2,60.4,58.0,1129,2.4,2.4,1.45
0.65,Good,E,SI2,60.4,58.0,1410,2.82,2.87,1.72
0.57,Ideal,F,SI2,61.6,56.0,1242,2.5,2.5,1.54
0.73,Ideal,H,VS1,61.3,53.0,2049,2.85,2.83,1.74
0.42,Very Good,J,IF,61.6,56.0,813,2.02,1.98,1.23
0.27,Fair,G,SI2,61.1,61.0,326,1.08,1.09,0.66
0.36,Ideal,D,SI1,61.1,58.0,676,1.52,1.53,0.93
0.24,Ideal,E,VVS2,61.9,59.0,382,0.96,0.96,0.6
0.24,Ideal,J,VVS1,61.1,57.0,326,1.1,1.1,0.67
0.44,Ideal,J,SI1,60.5,59.0,804,1.79,1.82,1.09
1.34,Good,D,VVS1,61.0,58.0,5874,5.5,5.49,3.35
0.54,Very Good,J,VS2,61.1,58.0,998,2.37,2.38,1.45
0.29,Good,J,IF,60.9,58.0,377,1.17,1.19,0.72
0.42,Ideal,F,SI2,63.0,56.0,736,1.7,1.74,1.08
2.1,Ideal,H,VVS2,62.6,52.0,14194,9.6,9.44,5.96
0.22,Very Good,G,SI2,62.2,55.0,326,0.98,0.96,0.6
0.66,Good,F,VS1,60.8,57.0,1232,2.91,2.93,1.77
0.67,Very Good,E,VVS1,61.0,56.0,2145,2.66,2.68,1.63
1.27,Very Good,F,SI1,60.6,56.0,4884,5.67,5.62,3.42
0.47,Ideal,J,SI1,62.5,57.0,780,1.96,1.96,1.22
0.47,Ideal,I,SI1,61.4,58.0,1011,1.94,1.92,1.18
1.94,Ideal,F,VS2,60.7,56.0,10098,6.98,6.95,4.23
0.21,Premium,G,VS2,60.6,55.0,326,0.86,0.86,0.52
0.67,Good,F,VS2,63.1,60.0,1539,3.11,3.1,1.96
0.8,Ideal,G,VS1,61.9,56.0,2698,3.95,3.95,2.45
0.25,Ideal,I,VS2,62.9,58.0,326,1.04,1.02,0.65
0.83,Premium,G,SI2,59.3,51.0,2233,3.07,3.14,1.84
0.74,Ideal,E,VS1,61.7,53.0,2557,3.51,3.5,2.16
0.21,Premium,E,SI1,60.9,55.0,326,0.94,0.96,0.58
1.15,Premium,G,VS2,60.8,57.0,4089,5.0,5.04,3.05
0.71,Premium,H,VS2,61.8,59.0,1745,2.94,2.92,1.81
1.51,Fair,G,VS2,63.1,62.0,6054,5.97,6.08,3.8
0.69,Good,H,SI1,59.8,63.0,1358,2.89,2.93,1.74
0.48,Fair,I,SI1,60.6,54.0,683,2.27,2.23,1.36
0.68,Ideal,G,SI1,61.3,60.0,1586,3.18,3.2,1.96
1.2,Very Good,J,VVS2,62.3,53.0,4610,4.98,4.98,3.1
0.47,Premium,E,VS2,59.8,55.0,1077,2.22,2.26,1.34
0.47,Ideal,J,VS2,60.9,54.0,808,1.99,1.98,1.21
0.25,Very Good,E,SI2,61.6,59.0,326,0.97,0.96,0.59
0.61,Premium,G,VS2,60.4,60.0,1351,2.6,2.6,1.57
0.49,Ideal,G,VS2,61.5,59.0,1017,2.03,2.04,1.25
0.44,Very Good,F,SI1,61.1,57.0,696,1.97,1.98,1.21
0.22,Good,J,VS2,61.7,55.0,326,0.86,0.85,0.53
0.66,Very Good,E,SI1,60.5,58.0,1750,2.65,2.68,1.61
0.23,Very Good,H,VVS2,60.4,58.0,326,1.13,1.14,0.68
0.25,Ideal,I,SI1,62.3,60.0,326,1.1,1.09,0.68
0.23,Ideal,E,VS2,62.8,56.0,326,0.96,0.95,0.6
0.37,Ideal,J,SI1,62.5,60.0,568,1.35,1.35,0.85
0.56,Ideal,G,VS1,61.3,57.0,1210,2.19,2.18,1.34
0.65,Ideal,J,VS1,61.0,58.0,1423,2.66,2.66,1.62
0.41,Very Good,H,VS1,60.3,56.0,676,1.69,1.67,1.02
0.79,Ideal,H,VVS2,59.7,57.0,2289,3.34,3.34,1.99
0.96,Premium,F,VVS2,62.0,60.0,3772,4.01,3.98,2.48
0.66,Ideal,I,SI1,62.0,59.0,1400,2.7,2.69,1.67
0.41,Ideal,D,SI1,61.6,54.0,691,1.74,1.75,1.07
0.22,Very Good,G,VVS2,59.3,55.0,326,0.98,0.97,0.58
1.58,Good,D,VVS2,60.7,59.0,7979,7.46,7.49,4.54
2.12,Very Good,F,VVS1,61.3,59.0,13384,9.87,9.97,6.08
0.25,Premium,D,VVS2,61.2,61.0,413,0.9,0.91,0.55
0.47,Ideal,J,SI2,61.6,57.0,771,2.04,2.06,1.26
0.32,Ideal,H,SI1,63.2,59.0,511,1.41,1.38,0.88
0.59,Fair,H,SI1,62.1,58.0,982,2.79,2.81,1.74
0.53,Premium,I,SI1,61.4,59.0,966,2.37,2.37,1.46
0.32,Premium,H,SI1,62.6,59.0,480,1.38,1.37,0.86
1.4,Very Good,E,VVS2,60.5,60.0,6369,5.85,5.77,3.52
1.32,Good,H,VS1,60.6,54.0,4433,5.8,5.82,3.52
0.8,Very Good,J,SI1,60.5,56.0,1629,3.13,3.12,1.89
0.84,Ideal,E,SI2,62.0,59.0,2403,3.46,3.48,2.15
0.41,Very Good,H,SI1,63.6,58.0,582,1.95,1.92,1.23
0.44,Premium,G,SI1,61.4,58.0,864,1.82,1.85,1.12
0.53,Ideal,F,VS1,61.3,55.0,1283,2.16,2.15,1.32
0.71,Premium,J,SI1,61.9,59.0,1582,3.39,3.42,2.11
0.48,Ideal,F,SI1,62.9,61.0,1081,2.15,2.13,1.34
0.36,Ideal,D,SI2,62.5,57.0,644,1.42,1.42,0.89
1.22,Very Good,J,VS2,62.6,60.0,3967,5.68,5.68,3.56
0.36,Premium,H,VS2,62.6,58.0,585,1.65,1.67,1.04
0.69,Very Good,F,VS1,62.2,58.0,1903,2.89,2.92,1.81
0.82,Very Good,F,SI1,61.3,56.0,1970,3.93,3.87,2.39
0.69,Fair,J,VS1,61.5,62.0,1110,2.74,2.74,1.68
0.9,Premium,E,VS1,61.6,59.0,3106,3.98,3.99,2.45
0.31,Premium,G,VS1,59.0,55.0,513,1.32,1.37,0.79
0.45,Good,E,SI1,63.7,61.0,813,2.28,2.28,1.45
0.61,Very Good,J,SI2,62.7,58.0,1119,2.58,2.64,1.64
1.22,Ideal,I,SI1,60.5,57.0,4862,5.66,5.71,3.44
1.92,Very Good,G,VVS1,62.2,58.0,13342,8.41,8.59,5.29
1.18,Very Good,H,VVS2,59.5,58.0,4399,4.81,4.76,2.85
0.27,Premium,J,SI1,59.9,59.0,362,1.08,1.09,0.65
0.21,Ideal,J,SI1,63.4,58.0,326,0.84,0.84,0.53
0.37,Very Good,I,I1,60.4,57.0,539,1.61,1.6,0.97
0.46,Ideal,I,SI1,62.0,55.0,788,2.13,2.1,1.31
0.27,Ideal,F,VVS2,61.9,60.0,402,1.29,1.29,0.8
0.77,Very Good,F,VS2,61.6,57.0,1988,3.85,3.89,2.38
1.35,Ideal,I,VVS2,61.5,62.0,6006,5.59,5.54,3.42
0.45,Premium,H,IF,62.6,55.0,976,2.09,2.05,1.3
2.46,Ideal,J,SI1,60.6,51.0,13767,11.26,11.34,6.84
0.37,Ideal,E,VS2,61.1,56.0,696,1.54,1.55,0.95
0.46,Premium,H,VS1,62.9,57.0,841,1.84,1.84,1.16
0.23,Good,H,VS1,60.2,57.0,326,1.1,1.11,0.67
0.82,Ideal,I,SI1,61.2,55.0,2087,3.19,3.19,1.95
0.21,Very Good,D,IF,61.1,58.0,361,0.92,0.93,0.57
0.48,Very Good,I,VS1,61.6,55.0,940,1.98,1.98,1.22
0.33,Fair,F,I1,61.9,59.0,379,1.29,1.31,0.81
0.7,Premium,H,VS2,61.3,58.0,1778,2.92,2.93,1.8
0.32,Ideal,H,SI2,61.3,56.0,412,1.35,1.34,0.83
0.61,Fair,G,VS1,62.9,57.0,1317,2.62,2.62,1.65
0.24,Premium,H,SI2,61.7,55.0,326,1.04,1.03,0.64
0.24,Very Good,J,SI1,60.6,58.0,326,0.98,0.99,0.6
1.29,Ideal,F,SI1,62.1,55.0,5936,5.53,5.6,3.46
0.97,Very Good,H,VVS1,63.7,57.0,3412,3.79,3.76,2.4
1.91,Ideal,F,VVS2,60.0,52.0,10934,8.98,9.18,5.44
0.33,Premium,I,VVS2,60.4,60.0,444,1.35,1.34,0.81
0.37,Ideal,G,VS1,60.3,56.0,681,1.61,1.62,0.97
3.37,Good,G,VVS1,63.4,58.0,18823,14.88,14.82,9.42
0.77,Very Good,I,SI1,61.8,56.0,1881,3.46,3.46,2.14
0.38,Good,G,VVS2,60.2,57.0,679,1.5,1.52,0.91
0.35,Ideal,E,VS1,59.8,57.0,570,1.36,1.36,0.81
1.12,Ideal,J,VS1,61.9,59.0,4075,5.03,5.04,3.11
0.46,Very Good,H,SI1,61.8,55.0,778,2.02,2.0,1.24
0.22,Ideal,H,VS1,61.5,58.0,326,0.84,0.84,0.52
0.42,Ideal,H,SI1,61.6,58.0,737,1.92,1.94,1.19
0.3,Premium,I,VS2,61.0,60.0,383,1.29,1.32,0.8
0.25,Premium,E,IF,60.1,59.0,419,1.07,1.08,0.65
1.29,Very Good,D,VS1,63.1,57.0,5310,5.84,5.88,3.7
0.79,Good,F,VS1,61.1,59.0,2436,3.11,3.13,1.91
0.76,Ideal,G,SI1,62.8,56.0,2109,4.02,4.02,2.52
0.66,Ideal,F,VVS2,62.0,55.0,1927,2.59,2.56,1.59
0.83,Ideal,H,VVS1,59.4,59.0,3196,3.05,3.06,1.82
1.67,Very Good,D,SI2,62.2,58.0,8045,7.44,7.36,4.6
0.24,Very Good,I,VS2,61.7,59.0,326,1.09,1.09,0.67
0.22,Ideal,H,VS1,61.1,58.0,326,0.97,0.99,0.6
0.61,Ideal,E,VVS2,63.8,58.0,1798,2.89,2.9,1.85
0.46,Ideal,F,VS2,62.2,58.0,991,1.7,1.7,1.06
0.24,Ideal,I,SI1,60.3,59.0,326,1.18,1.2,0.72
1.76,Ideal,I,SI2,60.7,57.0,7876,7.09,7.17,4.33
0.93,Good,I,VS2,63.0,60.0,2388,3.74,3.73,2.35
0.53,Very Good,F,SI1,63.0,58.0,1167,2.39,2.41,1.51
1.75,Ideal,J,IF,61.9,59.0,8955,8.01,7.89,4.92
0.93,Premium,H,VS2,62.9,56.0,3174,4.1,4.03,2.56
0.24,Fair,D,SI1,61.4,58.0,326,1.08,1.08,0.66
0.75,Good,G,IF,61.7,57.0,2483,3.0,2.97,1.84
0.52,Ideal,H,VS2,61.2,56.0,1097,2.12,2.12,1.3
0.65,Fair,E,VS1,61.2,59.0,1382,2.64,2.6,1.6
0.34,Very Good,J,IF,62.7,54.0,534,1.41,1.38,0.88
0.51,Premium,H,VS1,61.6,54.0,1261,1.93,1.9,1.18
0.4,Ideal,D,VVS1,62.0,57.0,1146,1.87,1.89,1.16
0.49,Ideal,J,SI1,61.6,57.0,908,2.23,2.19,1.36
0.25,Very Good,F,SI2,60.9,56.0,326,1.07,1.07,0.65
0.27,Ideal,G,IF,60.5,54.0,408,1.07,1.07,0.65
0.51,Very Good,I,VS2,62.6,63.0,962,2.1,2.11,1.32
0.34,Very Good,H,VVS2,62.1,55.0,588,1.32,1.31,0.82
0.36,Ideal,G,VS2,62.4,57.0,659,1.56,1.55,0.97
0.72,Ideal,E,VS1,63.8,59.0,2039,3.19,3.17,2.03
0.21,Ideal,G,SI2,61.9,53.0,326,0.92,0.91,0.56
0.51,Ideal,G,SI2,62.0,57.0,1166,2.13,2.11,1.31
0.63,Premium,H,VVS1,61.2,61.0,1718,2.73,2.77,1.68
0.41,Good,G,VS2,63.4,59.0,723,1.64,1.63,1.04
0.58,Premium,H,SI1,61.7,53.0,1249,2.44,2.42,1.5
1.08,Very Good,G,VVS1,62.5,61.0,4098,4.6,4.57,2.87
0.49,Very Good,G,IF,62.3,55.0,1050,2.11,2.11,1.32
0.53,Ideal,F,VS2,62.4,57.0,1310,1.94,1.94,1.21
1.18,Premium,E,VS2,61.0,55.0,5355,4.98,5.08,3.07
0.51,Ideal,G,VVS1,62.9,59.0,1362,2.35,2.35,1.48
1.64,Ideal,D,SI2,61.5,57.0,9049,6.16,6.02,3.75
1.35,Ideal,D,VS1,62.8,58.0,6328,6.09,6.03,3.8
0.22,Premium,E,VVS2,61.6,62.0,326,0.91,0.91,0.56
0.3,Premium,E,VS1,60.5,56.0,565,1.18,1.19,0.72
0.54,Premium,F,VS1,61.6,53.0,1286,1.93,1.92,1.18
0.27,Very Good,F,VVS2,61.4,57.0,380,1.11,1.12,0.68
1.24,Ideal,D,SI1,62.2,58.0,4824,5.6,5.56,3.47
0.49,Very Good,E,VS2,63.5,58.0,1111,2.01,2.01,1.28
0.29,Fair,D,SI2,61.6,58.0,359,1.11,1.12,0.69
0.77,Ideal,F,SI2,59.1,61.0,2060,3.38,3.38,2.0
0.8,Very Good,I,VVS2,61.5,58.0,2602,3.5,3.5,2.15
0.56,Ideal,E,VVS2,63.4,59.0,1709,2.46,2.41,1.54
0.28,Ideal,H,SI2,62.5,57.0,389,1.19,1.19,0.74
1.04,Ideal,D,VS2,60.9,55.0,4679,4.81,4.78,2.92
1.31,Premium,D,SI2,58.7,61.0,4463,5.63,5.69,3.32
1.47,Fair,G,SI1,61.5,59.0,5333,6.17,6.22,3.81
0.32,Ideal,G,SI2,63.1,55.0,420,1.48,1.44,0.92
0.66,Premium,E,SI1,62.0,57.0,1815,3.08,3.01,1.89
0.8,Ideal,F,VS2,62.1,57.0,2478,3.65,3.66,2.27
0.24,Ideal,D,VVS2,61.4,58.0,326,0.98,0.98,0.6
0.61,Ideal,I,VS2,63.3,58.0,1585,2.54,2.53,1.61
0.22,Very Good,F,VVS1,63.0,59.0,326,0.97,0.97,0.61
1.01,Premium,E,SI2,62.6,55.0,3047,4.36,4.44,2.75
1.27,Ideal,I,VS2,60.2,59.0,5661,5.29,5.32,3.19
0.7,Very Good,D,VVS1,62.2,56.0,2388,2.92,2.93,1.82
1.51,Very Good,F,SI1,61.7,59.0,5588,6.36,6.4,3.93
0.36,Premium,E,VVS2,61.0,55.0,743,1.39,1.38,0.85
0.81,Ideal,E,SI1,61.0,59.0,2400,3.95,3.97,2.42
0.3,Ideal,D,IF,60.7,60.0,621,1.48,1.44,0.89
0.23,Premium,J,VS1,61.5,56.0,326,0.91,0.9,0.56
0.48,Good,I,VS1,61.3,52.0,830,2.14,2.13,1.31
1.7,Premium,F,VVS2,62.1,60.0,9385,6.83,6.86,4.25
1.08,Ideal,G,VS2,62.5,59.0,4125,4.44,4.4,2.77
0.8,Very Good,G,SI1,60.0,55.0,2277,3.4,3.39,2.04
0.75,Premium,G,SI1,62.6,58.0,2061,3.23,3.22,2.02
0.35,Ideal,I,VS2,62.1,59.0,552,1.83,1.8,1.13
0.22,Ideal,G,VS2,62.8,56.0,326,0.96,0.94,0.6
0.5,Ideal,E,VVS1,61.8,56.0,1162,2.02,2.03,1.25
0.38,Ideal,D,VS2,62.8,54.0,775,1.6,1.61,1.01
0.42,Very Good,J,VS2,62.5,58.0,648,1.65,1.67,1.04
0.24,Very Good,D,VS2,61.1,60.0,349,0.93,0.95,0.57
0.35,Ideal,J,SI2,60.3,56.0,451,1.64,1.65,0.99
0.63,Ideal,H,SI2,61.9,57.0,1439,2.66,2.67,1.65
1.38,Ideal,F,VS1,62.4,54.0,6796,5.58,5.6,3.48
1.05,Ideal,E,VS2,61.8,56.0,4897,4.42,4.4,2.73
0.38,Premium,F,VS2,62.7,59.0,732,1.61,1.61,1.01
0.94,Premium,G,VVS1,63.2,55.0,3278,4.17,4.18,2.64
0.78,Ideal,H,VVS2,62.6,58.0,2622,2.99,2.98,1.87
0.28,Ideal,H,SI1,61.8,59.0,372,1.17,1.16,0.72
0.64,Ideal,G,VVS2,62.3,58.0,1897,3.09,3.08,1.92
0.99,Ideal,F,IF,61.2,57.0,4028,3.99,3.9,2.41
0.27,Ideal,I,SI2,62.8,59.0,335,1.13,1.11,0.7
0.23,Very Good,J,VVS1,61.5,57.0,326,1.06,1.05,0.65
0.23,Premium,J,SI1,62.1,56.0,326,0.9,0.9,0.56
0.57,Good,G,VS1,61.0,61.0,1267,2.39,2.34,1.44
0.22,Premium,D,VS1,61.7,56.0,326,1.0,0.99,0.61
0.52,Fair,D,VS1,62.3,55.0,1127,2.04,2.03,1.27
0.58,Premium,F,VVS1,62.0,60.0,1524,2.7,2.69,1.67
0.31,Premium,H,VS1,61.8,56.0,429,1.29,1.26,0.79
1.95,Very Good,G,SI1,62.9,64.0,7529,9.55,9.45,5.98
0.88,Premium,H,VS1,63.1,59.0,2715,4.07,4.06,2.56
0.45,Fair,I,SI1,60.2,57.0,564,1.98,1.98,1.19
1.21,Fair,D,VVS1,62.4,54.0,4763,4.93,4.88,3.06
0.49,Ideal,J,SI1,61.7,60.0,886,2.1,2.09,1.29
0.84,Premium,F,SI1,62.0,56.0,2691,3.83,3.8,2.36
0.66,Good,D,I1,62.5,56.0,1454,2.92,2.93,1.83
0.51,Premium,I,VVS2,60.8,56.0,1001,2.15,2.14,1.31
0.35,Ideal,J,VVS1,62.1,58.0,576,1.55,1.55,0.96
0.21,Very Good,I,SI2,62.9,59.0,326,0.89,0.87,0.55
0.22,Ideal,I,SI1,60.9,54.0,326,1.01,1.01,0.62
0.72,Good,I,SI1,61.0,58.0,1201,3.16,3.19,1.93
1.22,Good,G,VVS2,61.5,58.0,4779,4.47,4.46,2.75
1.09,Premium,H,SI1,63.5,57.0,3863,4.6,4.6,2.92
0.6,Premium,F,SI1,62.3,57.0,1500,2.98,2.99,1.86
0.22,Ideal,E,SI1,61.0,57.0,326,1.02,1.01,0.62
0.23,Ideal,G,SI1,61.3,59.0,326,1.09,1.1,0.67
0.3,Ideal,H,VS1,61.9,56.0,506,1.35,1.35,0.84
0.32,Premium,F,IF,61.3,59.0,606,1.41,1.41,0.86
0.44,Very Good,F,VS2,62.2,61.0,932,1.69,1.7,1.06
0.31,Ideal,J,SI1,61.1,59.0,395,1.47,1.47,0.9
0.38,Very Good,G,I1,59.7,60.0,578,1.58,1.59,0.95
0.23,Premium,J,SI2,60.0,57.0,326,0.9,0.9,0.54
0.46,Good,I,VVS1,62.2,59.0,866,2.22,2.23,1.38
0.58,Fair,H,SI1,61.7,59.0,882,2.65,2.63,1.63
0.84,Ideal,D,SI1,62.6,58.0,3256,3.7,3.68,2.31
0.24,Ideal,F,SI2,61.5,60.0,344,0.93,0.93,0.57
1.48,Ideal,F,VS2,61.6,59.0,7209,5.84,5.78,3.58
0.49,Premium,H,SI1,61.1,62.0,769,2.25,2.26,1.38
0.47,Very Good,F,VS2,64.1,58.0,936,2.39,2.38,1.53
1.8,Very Good,I,IF,61.3,55.0,7518,7.21,7.2,4.41
0.57,Very Good,H,SI2,60.4,57.0,1077,2.22,2.21,1.34
0.35,Premium,F,SI2,62.0,58.0,555,1.58,1.58,0.98
0.21,Ideal,I,VS2,61.9,54.0,326,1.0,0.98,0.61
1.24,Ideal,F,SI2,60.9,53.0,5010,5.02,4.98,3.04
0.92,Very Good,D,VS1,61.3,58.0,2850,4.29,4.3,2.63
0.72,Ideal,E,VVS2,60.2,56.0,2268,3.12,3.14,1.88
0.49,Ideal,D,VS1,62.4,57.0,1209,1.9,1.9,1.19
0.98,Premium,I,SI1,63.0,59.0,3119,4.26,4.25,2.68
0.36,Premium,H,VVS2,62.6,57.0,661,1.64,1.64,1.03
0.32,Premium,G,VS2,62.3,56.0,551,1.38,1.39,0.87
1.53,Very Good,H,VVS2,61.8,55.0,7335,6.75,6.73,4.16
0.24,Very Good,H,IF,60.6,56.0,326,1.07,1.07,0.65
1.39,Ideal,G,VS2,62.0,59.0,6239,5.72,5.75,3.55
0.33,Fair,I,VS2,60.7,56.0,350,1.48,1.48,0.9
1.63,Good,G,SI1,60.3,61.0,6496,7.19,7.26,4.36
0.44,Fair,I,SI2,62.4,58.0,462,1.88,1.87,1.17
0.44,Fair,I,VS1,61.7,55.0,600,1.8,1.82,1.12
0.22,Ideal,E,VS1,61.2,56.0,326,0.96,0.97,0.59
1.07,Ideal,G,VS2,61.5,57.0,4325,4.96,5.06,3.08
1.21,Premium,I,VS1,61.8,57.0,4460,5.14,5.22,3.2
0.82,Good,I,SI1,61.9,60.0,1983,3.45,3.42,2.13
0.87,Premium,D,I1,61.0,55.0,2792,4.22,4.25,2.59
0.38,Premium,E,SI2,61.7,59.0,680,1.69,1.69,1.04
0.76,Very Good,G,VS2,62.6,58.0,2020,3.18,3.17,1.99
0.21,Premium,D,SI2,63.5,61.0,326,0.83,0.83,0.53
0.85,Premium,E,VVS2,63.1,61.0,2986,3.75,3.75,2.37
1.45,Premium,E,VS1,60.8,60.0,8109,5.95,6.0,3.63
0.34,Ideal,E,VVS2,62.6,56.0,675,1.58,1.6,0.99
0.24,Fair,F,VS1,60.2,60.0,326,1.16,1.18,0.71
0.81,Premium,I,SI2,61.6,55.0,2172,3.43,3.47,2.13
1.56,Ideal,E,SI1,62.0,60.0,7416,7.15,7.13,4.43
1.31,Premium,G,SI1,60.7,59.0,6046,6.33,6.34,3.85
1.53,Ideal,G,VS2,60.5,54.0,8119,6.52,6.52,3.94
0.75,Ideal,I,IF,63.4,57.0,2415,3.14,3.16,2.0
0.45,Very Good,F,VS1,59.8,58.0,886,2.03,2.04,1.22
0.49,Good,E,SI1,61.5,58.0,907,2.14,2.18,1.33
1.45,Ideal,J,SI2,60.8,58.0,5161,5.83,5.91,3.57
0.75,Fair,I,VVS1,60.5,62.0,1838,3.34,3.35,2.03
0.68,Premium,H,VS2,62.5,56.0,1592,2.97,2.95,1.85
0.74,Ideal,D,SI2,62.9,58.0,2289,3.25,3.23,2.04
1.11,Premium,D,VVS2,61.4,58.0,4667,4.8,4.87,2.97
0.23,Premium,E,VS1,61.6,59.0,346,0.9,0.9,0.55
0.29,Ideal,E,VVS2,60.6,54.0,529,1.29,1.29,0.78
0.33,Premium,E,VS1,60.9,57.0,601,1.55,1.56,0.95
0.32,Premium,E,VS2,63.5,57.0,556,1.48,1.49,0.94
0.57,Ideal,F,VS2,61.4,58.0,1394,2.37,2.36,1.45
0.38,Premium,H,VS2,62.4,58.0,643,1.73,1.71,1.07
0.43,Ideal,H,SI2,62.2,52.0,714,1.93,1.96,1.21
0.54,Ideal,D,VVS1,62.6,56.0,1514,2.45,2.49,1.55
0.58,Very Good,J,IF,60.1,56.0,1366,2.66,2.66,1.6
0.5,Good,H,SI1,61.4,54.0,698,2.34,2.37,1.45
0.61,Good,E,VVS2,60.6,56.0,1376,2.46,2.47,1.49
0.37,Fair,E,IF,62.2,56.0,645,1.72,1.71,1.07
0.68,Good,D,I1,64.2,57.0,1327,2.67,2.65,1.71
0.43,Ideal,H,SI1,62.3,60.0,837,1.9,1.91,1.19
1.81,Good,E,VS2,63.1,57.0,8525,8.24,8.19,5.18
